"(PDH-CSV 4.0) (Central Daylight Time)(300)","\\MARWAMOHAMED\Memory\Available MBytes","\\MARWAMOHAMED\Memory\Free System Page Table Entries","\\MARWAMOHAMED\Memory\Pages Input/sec","\\MARWAMOHAMED\Memory\Pages/sec","\\MARWAMOHAMED\Paging File(_Total)\% Usage","\\MARWAMOHAMED\Paging File(_Total)\% Usage Peak","\\MARWAMOHAMED\PhysicalDisk(_Total)\Avg. Disk Read Queue Length","\\MARWAMOHAMED\PhysicalDisk(_Total)\Avg. Disk Write Queue Length","\\MARWAMOHAMED\PhysicalDisk(_Total)\Avg. Disk sec/Read","\\MARWAMOHAMED\PhysicalDisk(_Total)\Avg. Disk sec/Transfer","\\MARWAMOHAMED\PhysicalDisk(_Total)\Avg. Disk sec/Write","\\MARWAMOHAMED\Process(sqlservr)\% Privileged Time","\\MARWAMOHAMED\Process(sqlservr)\% Processor Time","\\MARWAMOHAMED\Processor(_Total)\% Privileged Time","\\MARWAMOHAMED\Processor(_Total)\% Processor Time","\\MARWAMOHAMED\System\Context Switches/sec","\\MARWAMOHAMED\System\Processor Queue Length"
"08/14/2021 14:38:10.971","8074","12491490"," "," ","0.63621884300595243911","0.83331153506324395774"," "," "," "," "," "," "," "," "," "," ","0"
"08/14/2021 14:38:15.976","8088","12491699","4218.5977651796556529","4218.5977651796556529","0.63621884300595243911","0.83331153506324395774","0.043486416060905606906","0.010778160751776712234","0.0014729047619047618608","0.0012566558139534883456","0.00078917647058823531172"," "," ","3.2558906763828110442","8.050523271228826161","7755.6555714385140163","0"
"08/14/2021 14:38:20.971","8104","12491726","0","0","0.63621884300595243911","0.83331153506324395774","0","0.0063630126724969508431","0","0.00093489117647058833649","0.00093489117647058833649"," "," ","1.8766966839380148091","5.3832088514584324201","5481.6338940375726452","0"
"08/14/2021 14:38:25.990","8096","12491652","0","0","0.63621884300595243911","0.83331153506324395774","0","0.0026844039264164636441","0","0.00084201250000000000921","0.00084201250000000000921"," "," ","1.9069326272637541209","5.4706012818117377705","4966.3269088025172096","0"
"08/14/2021 14:38:30.978","8104","12491678","0","0","0.63621884300595243911","0.83331153506324395774","0","0.0023989551705778100477","0","0.0019942666666666664967","0.0019942666666666664967"," "," ","1.9578883284122632347","5.4340416542389409216","5228.540847739790479","0"
"08/14/2021 14:38:35.981","8061","12491658","4768.2110416842333507","4768.2110416842333507","0.63621884300595243911","0.83331153506324395774","0.051210958873664655377","8.5341638267254551624e-006","0.0018840433823529411511","0.0018706029197080294244","4.2700000000000001138e-005"," "," ","3.2790076178504565796","7.5632138205966477074","10333.255741814062276","0"
"08/14/2021 14:38:40.986","8080","12491645","0","0","0.63621884300595243911","0.83331153506324395774","0","0.012641810144727282095","0","0.00036575375722543352654","0.00036575375722543352654"," "," ","2.3022693539045935296","5.5678735145292641562","5224.7801265834896185","0"
"08/14/2021 14:38:45.978","8089","12491650","0","0","0.63621884300595243911","0.83331153506324395774","0","0.0065224797369902711916","0","0.00077525714285714289811","0.00077525714285714289811"," "," ","2.07359480022101339","6.2188092756597646016","5693.1982136406240897","0"
"08/14/2021 14:38:50.976","8090","12491708","0.20010286487871956074","0.20010286487871956074","0.63621884300595243911","0.83331153506324395774","0","0.0025104510915966971561","0","0.0013939888888888890116","0.0013939888888888890116"," "," ","2.3058534997439905645","5.8898501489274002196","5461.2073882700142349","0"
"08/14/2021 14:38:55.985","8089","12491633","1.7966363015834496686","1.7966363015834496686","0.63621884300595243911","0.83331153506324395774","0","0.0051661547611366598343","0","0.0009953307692307693591","0.0009953307692307693591"," "," ","1.7935551966822389502","4.7466754354976714581","5592.5295543178153821","0"
